Taxa	protein			
ND25911	11.1			
ND25917	12.2			
ND25949	12.8			
ND25966	11.6			
ND25967	12			
ND25969	12.6			
ND25970	12.5			
ND25975	12.9			
ND25976	12.6			
ND25977	12.4			
ND25979	12.6			
ND25982	13.9			
ND25986	11.6			
ND25988	13.4			
ND25989	13.6			
ND25996	11.8			
ND25998	11.6			
ND25999	11.8			
ND26009	12.8			
ND26010	13.9			
ND26015	12.5			
ND26018	12			
ND26030	12.7			
ND26032	13.6			
ND26033	12.4			
ND26034	13			
ND26036	12.8			
ND26037	12.5			
ND26048	12.3			
ND26055	12.7			
ND26058	13			
ND26062	12			
ND26085	12.6			
ND26086	12.5			
ND26090	12.2			
ND26092	12.6			
ND26100	13.3			
ND26104	13.3			
ND26105	12.6			
ND26111	12.9			
ND26139	12.9			
ND26178	12.6			
ND26180	12.8			
ND26181	12.3			
ND26205	11.8			
ND26208	12			
ND26212	12.7			
ND26221	12.1			
ND26229	11.7			
ND26239	11.6			
ND26247	12.1			
ND26249	11.7			
ND26251	11.5			
ND26252	10.9			
ND26262	11			
ND26284	11.5			
ND26288	12.9			
ND26289	13			
ND26292	12.4			
ND26300	11.4			
ND26303	12.2			
ND27327	12.9			
ND27328	12			
ND27329	11.9			
ND27330	11.9			
ND27331	11.6			
ND27332	11.7			
ND27333	12.5			
ND27334	11.7			
ND27335	11.8			
ND27336	11.8			
ND27337	11.7			
ND27338	12.6			
ND27339	12.7			
ND27340	11.2			
ND27341	11.6			
ND27342	11.1			
ND27343	10.9			
ND27344	12.6			
ND27345	12.1			
ND27346	11.3			
ND27347	11.6			
ND27348	11.3			
ND27349	10.2			
ND27350	12.4			
ND27351	10.8			
ND27352	11			
ND27353	10.7			
ND27354	12			
ND27355	12			
ND27356	11			
ND27357	12.2			
ND27358	11.7			
ND27359	11.6			
ND27360	12			
ND27361	10.7			
ND27362	13			
ND27363	12			
ND27364	11.4			
ND27365	12.7			
ND27366	12.6			
ND27367	12.2			
ND27368	11.6			
ND27369	13.6			
ND27370	12.6			
ND27371	12.2			
ND27372	12.4			
ND27373	11.5			
ND27374	11.7			
ND27375	11.6			
ND27376	11.1			
ND27377	12.3			
ND27378	11.7			
ND27379	11.5			
ND27380	12			
ND27381	12.3			
ND27382	11.9			
ND27383	11.6			
ND27384	13.1			
ND27385	13.2			
ND27386	13			
ND27387	11.8			
ND27388	12.1			
ND27389	11.7			
ND27390	11.8			
ND27391	12			
ND27392	12.6			
ND27393	12.3			
ND27394	11.8			
ND27395	11.3			
ND27396	11.2			
ND27397	11.1			
ND27398	11			
ND27399	11.7			
ND27400	12.3			
ND27401	12.3			
ND27402	11.7			
ND27403	11.8			
ND27404	11.9			
ND27405	11.2			
ND27406	11.6			
ND27407	11.9			
ND27408	12.4			
ND27409	11.2			
ND27410	11.3			
ND27411	11.6			
ND27412	11.5			
ND27413	11.3			
ND27414	11.8			
ND27415	11.4			
ND27416	12.3			
ND27417	12.2			
ND27418	13.9			
ND27419	12.1			
ND27420	13.1			
ND27421	10.8			
ND27422	11.8			
ROBUST	13.1			
TRADITION	12.4			
X02007-DH1	11.5			
X02007-DH12	12			
X02007-DH6	12.4			
X02035-DH2	12.1			
X02037-DH1	11.5			
X02037-DH5	11.8			
X04012-T149	14.1			
X04012-T172	12.3			
X04012-T46	13.1			
X04012-T51	14.2			
X04012-T80	14.3			
X04041-T113	12.4			
X04041-T15	14.5			
X04041-T194	12.4			
X04041-T32	12.7			
X04041-T7	15			
X04041-T81	15.3			
X04055-T3	13.6			
X04055-T56	14.2			
X04061-T71	14.4			
Z120V022W	11.5			
Z127V020W	13			
Z127V036W	13.1			
Z129V007W	11.7			
Z129V030W	12.8			
Z139V005W	12.9			
Z139V019W	12.7			
Z150V003W	12.9			
Z150V012W	12.6			
Z155U012V	12.5			
Z164U025V	12.6			
Z169U009V	13.8			
Z172U022V	14.5			
Z172U024V	14.7			
Z173U047V	13			
Z177U039V	13.8			
Z177U045V	12.7			
Z180U069V	12.7			
Z192U005V	14.7			
Z200U001V	13.7			
Z200U055V	13.1			
Z202V003W	12.1			
Z202V024W	13.2			
Z203U001V	12.9			
Z211V021W	12.6			
Z216V014W	11.5			
Z216V021W	12.5			
Z216V025W	12.1			
Z216V028W	12.6			
